"Weight","TailLength","Heart","LKidney","RKidney","Spleen","Liver","FatPad"
35.96,94.15,0.14,NA,0.35,0.1,2.07,0.51
28.65,96.66,0.1,NA,0.23,0.1,1.63,NA
24.08,94.87,0.15,NA,0.36,0.14,2.01,0.48
NA,94.67,0.12,NA,0.35,0.12,1.76,0.32
25.39,96.11,0.08,0.17,0.18,0.08,1.41,0.45
29.54,NA,0.17,NA,0.3,0.08,1.61,NA
34.58,97.98,0.16,0.37,0.39,0.07,1.9,1.12
30.17,NA,0.16,0.21,0.22,0.09,1.3,1.1
NA,90.36,0.15,0.23,0.22,0.12,1.87,0.78
24.88,89.37,0.11,NA,0.17,0.07,0.39,0.73
23.03,88.15,0.1,0.15,0.16,0.06,1.29,0.61
37.76,96.22,0.21,NA,0.27,0.13,1.96,1.58
25.33,87.46,0.12,NA,0.21,0.08,1.3,NA
34.47,90.82,0.17,NA,NA,0.08,1.75,0.68
31.13,95.92,0.14,0.35,0.35,0.1,NA,0.29
29.71,98.92,0.14,0.3,0.3,0.08,1.97,0.73
35.42,89.81,0.19,0.34,0.37,0.11,2,NA
30.43,86.95,0.18,0.32,0.33,0.07,1.71,0.58
35.65,96.41,0.12,NA,0.36,NA,2.12,0.57
25.59,93.78,0.12,0.21,NA,0.11,1.48,0.41
28.1,88.08,0.13,0.24,0.24,NA,1.53,0.48
NA,83.94,0.13,0.17,0.18,0.07,1.13,NA
34.24,NA,0.17,NA,0.38,0.1,1.91,0.81
34.09,88.15,0.15,0.27,0.3,0.08,1.62,1.09
25.37,86.25,0.13,NA,0.23,0.08,1.32,NA
39.5,93.99,0.23,NA,0.36,0.11,NA,0.97
24.26,89.83,0.14,0.21,0.17,0.1,1.38,0.48
40.18,98.46,0.22,NA,0.42,0.1,2.17,NA
34.82,99.16,0.22,NA,0.4,0.1,2.06,0.95
37.27,96.82,0.26,0.33,0.31,0.1,1.87,NA
27.92,NA,0.11,0.3,0.32,0.08,1.25,0.54
32.85,103.31,0.24,NA,0.31,0.11,1.58,NA
26.1,96.01,0.17,NA,NA,0.15,1.6,NA
38.35,103.3,NA,0.44,0.43,0.13,2.07,1.1
40.01,99.18,0.19,0.44,0.44,0.13,2.16,0.95
24.89,84.16,0.13,0.24,0.25,0.11,1.47,0.47
27.51,83.18,0.17,0.25,0.25,0.11,1.64,NA
24.51,79.63,0.14,0.23,0.24,0.11,1.4,NA
NA,85.93,0.19,NA,0.36,0.1,2.06,NA
20.88,88.18,0.19,0.37,0.38,0.08,1.83,0.55
27.85,84.31,0.15,NA,0.21,0.08,1.83,0.65
27.36,89.09,0.16,0.28,NA,0.09,1.5,0.45
24.6,78.52,0.16,0.22,0.19,0.1,1.69,0.83
41.25,100.92,0.18,0.44,0.4,0.16,2.03,1.19
28.9,89.62,0.15,NA,0.29,0.11,NA,0.47
31.35,91.91,0.18,NA,0.35,0.09,NA,0.59
22.98,93.08,0.12,0.17,0.18,NA,1.45,0.37
25.45,86.13,0.12,0.2,0.21,0.11,1.78,0.3
25.65,88.04,0.14,0.2,0.2,0.15,1.77,NA
30.29,87.87,0.17,0.28,0.29,0.09,1.76,0.55
NA,88.52,NA,NA,0.28,0.08,1.22,0.45
23.44,92.36,0.13,NA,0.19,0.13,1.47,0.38
28.89,92.21,0.1,0.19,NA,0.09,1.55,0.83
23.31,87.94,0.11,0.18,0.17,0.09,1.28,0.44
24.85,88.79,0.19,0.17,0.21,0.1,1.65,0.47
NA,92.04,0.19,0.3,0.34,0.12,1.84,0.96
32.12,88.35,0.13,NA,0.29,0.09,1.88,1.11
37.96,88.98,0.19,NA,0.34,0.12,2.25,1.23
29.97,87.54,0.17,NA,0.22,0.12,1.72,1.1
23.47,77.99,0.15,0.2,0.19,0.1,1.35,NA
34.15,95.25,0.13,NA,0.31,0.13,3.13,0.12
NA,94.15,0.16,NA,0.42,0.12,1.9,0.9
37.68,88.18,0.16,0.39,0.43,0.13,2.43,NA
54.5,98.21,0.24,NA,0.56,0.15,NA,NA
44.52,89.35,0.17,NA,0.54,0.13,2.36,1.82
44.53,86.86,0.23,0.5,0.48,0.18,2.66,1.43
42.8,83.46,0.12,NA,0.16,0.06,1.63,0.27
29.54,87.71,0.18,0.2,0.23,0.14,1.68,0.98
25.5,83.54,0.12,NA,0.22,0.07,1.59,0.42
32.57,90.29,0.17,0.3,0.32,0.1,1.99,0.88
32.12,88.63,0.12,NA,0.26,0.1,1.95,NA
29.19,84.31,0.18,0.29,0.32,0.08,1.91,0.79
NA,93.18,0.22,0.4,0.41,0.11,NA,1.56
NA,82.27,NA,NA,0.18,0.11,1.72,1.04
37.32,91.51,0.22,0.43,0.34,0.18,2.25,NA
28.13,86.7,0.14,0.19,0.17,0.05,1.48,NA
35.17,84.26,0.28,0.35,0.34,0.11,3.43,0.15
NA,94.32,0.16,NA,0.35,0.07,2.14,1.76
20.72,75.53,0.1,NA,NA,0.07,1.14,0.92
26.75,82.85,0.12,0.17,0.2,0.08,1.43,NA
30.3,96.96,0.18,NA,0.22,0.14,1.86,0.91
37.11,99.28,0.17,0.38,0.41,0.12,2.32,0.6
29.07,89.52,0.13,NA,0.22,0.1,1.55,1.09
43.53,88.63,0.19,0.44,0.43,0.14,2.66,NA
29.99,101.18,0.21,0.29,0.24,0.14,2.09,0.18
31.11,98.23,0.18,0.24,0.27,0.17,2.14,0.93
NA,101.71,0.19,0.41,NA,0.18,2.14,1.18
27.48,97.56,0.14,0.22,0.23,0.13,1.58,0.76
34.54,NA,0.2,NA,0.38,0.15,1.95,0.64
